name,description,category
Precision Hacksaw,Precision Hacksaw suitable for professional use in cutting tools tasks.,Cutting Tools
Heavy-Duty Bolt Cutter,Heavy-Duty Bolt Cutter suitable for professional use in cutting tools tasks.,Cutting Tools
Utility Knife XL,Utility Knife XL suitable for professional use in cutting tools tasks.,Cutting Tools
ProGrip Tile Cutter,ProGrip Tile Cutter suitable for professional use in cutting tools tasks.,Cutting Tools
Compact Wire Snips,Compact Wire Snips suitable for professional use in cutting tools tasks.,Cutting Tools
Metal Shears,Metal Shears suitable for professional use in cutting tools tasks.,Cutting Tools
Pipe Cutter Pro,Pipe Cutter Pro suitable for professional use in cutting tools tasks.,Cutting Tools
Craft Knife Kit,Craft Knife Kit suitable for professional use in cutting tools tasks.,Cutting Tools
Hand Saw Deluxe,Hand Saw Deluxe suitable for professional use in cutting tools tasks.,Cutting Tools
Glass Cutter Pen,Glass Cutter Pen suitable for professional use in cutting tools tasks.,Cutting Tools
Industrial Blade Set,Industrial Blade Set suitable for professional use in cutting tools tasks.,Cutting Tools
Sheet Metal Nibbler,Sheet Metal Nibbler suitable for professional use in cutting tools tasks.,Cutting Tools
Multi-Cut Scissors,Multi-Cut Scissors suitable for professional use in cutting tools tasks.,Cutting Tools
Mini Bolt Snips,Mini Bolt Snips suitable for professional use in cutting tools tasks.,Cutting Tools
Insulated Cable Cutter,Insulated Cable Cutter suitable for professional use in cutting tools tasks.,Cutting Tools
PVC Pipe Trimmer,PVC Pipe Trimmer suitable for professional use in cutting tools tasks.,Cutting Tools
Wood Chisel Knife,Wood Chisel Knife suitable for professional use in cutting tools tasks.,Cutting Tools
Panel Saw,Panel Saw suitable for professional use in cutting tools tasks.,Cutting Tools
Plier Cutter Combo,Plier Cutter Combo suitable for professional use in cutting tools tasks.,Cutting Tools
Circle Cutter Tool,Circle Cutter Tool suitable for professional use in cutting tools tasks.,Cutting Tools
Gasket Cutting Knife,Gasket Cutting Knife suitable for professional use in cutting tools tasks.,Cutting Tools
Rebar Cutter,Rebar Cutter suitable for professional use in cutting tools tasks.,Cutting Tools
Drywall Jab Saw,Drywall Jab Saw suitable for professional use in cutting tools tasks.,Cutting Tools
Knife with Snap Blades,Knife with Snap Blades suitable for professional use in cutting tools tasks.,Cutting Tools
Mini Hacksaw Frame,Mini Hacksaw Frame suitable for professional use in cutting tools tasks.,Cutting Tools
Deburring Tool Set,Deburring Tool Set suitable for professional use in cutting tools tasks.,Cutting Tools
Ratchet Pipe Cutter,Ratchet Pipe Cutter suitable for professional use in cutting tools tasks.,Cutting Tools
Vinyl Cutter Knife,Vinyl Cutter Knife suitable for professional use in cutting tools tasks.,Cutting Tools
Corner Cutter Tool,Corner Cutter Tool suitable for professional use in cutting tools tasks.,Cutting Tools
Compact Notcher,Compact Notcher suitable for professional use in cutting tools tasks.,Cutting Tools
Digital Caliper 150mm,Digital Caliper 150mm suitable for professional use in measuring instruments tasks.,Measuring Instruments
Laser Distance Meter,Laser Distance Meter suitable for professional use in measuring instruments tasks.,Measuring Instruments
Measuring Wheel Pro,Measuring Wheel Pro suitable for professional use in measuring instruments tasks.,Measuring Instruments
Analog Dial Indicator,Analog Dial Indicator suitable for professional use in measuring instruments tasks.,Measuring Instruments
Precision Ruler Set,Precision Ruler Set suitable for professional use in measuring instruments tasks.,Measuring Instruments
Pocket Level Mini,Pocket Level Mini suitable for professional use in measuring instruments tasks.,Measuring Instruments
Angle Finder Gauge,Angle Finder Gauge suitable for professional use in measuring instruments tasks.,Measuring Instruments
Digital Thermometer Gun,Digital Thermometer Gun suitable for professional use in measuring instruments tasks.,Measuring Instruments
Sound Level Meter,Sound Level Meter suitable for professional use in measuring instruments tasks.,Measuring Instruments
Stud Finder Sensor,Stud Finder Sensor suitable for professional use in measuring instruments tasks.,Measuring Instruments
Plumb Bob Kit,Plumb Bob Kit suitable for professional use in measuring instruments tasks.,Measuring Instruments
Feeler Gauge Set,Feeler Gauge Set suitable for professional use in measuring instruments tasks.,Measuring Instruments
Torque Wrench,Torque Wrench suitable for professional use in measuring instruments tasks.,Measuring Instruments
Height Gauge,Height Gauge suitable for professional use in measuring instruments tasks.,Measuring Instruments
Multimeter Pro,Multimeter Pro suitable for professional use in measuring instruments tasks.,Measuring Instruments
Steel Tape Measure,Steel Tape Measure suitable for professional use in measuring instruments tasks.,Measuring Instruments
Surface Roughness Tester,Surface Roughness Tester suitable for professional use in measuring instruments tasks.,Measuring Instruments
